"Name","model_name","f1","accuracy","precision","recall","lr","batch_size","class_weights","epochs","label_smoothing","momentum","warmup_epochs","warmup_lr_decay","weight_decay","useCosineAnnealingLR"
"rn50_uf34_1_us","resnet50_lay34","0.7972361210388372","0.8025980051032243","0.8176930596285436","0.7777777777777778","0.1","128",,"50","0.1","0.9","5","0.01","0.00002","true"
"rn50_uf34_2_us","resnet50_lay34","0.7805339003071108","0.7845047552771979","0.7934678194044188","0.7680148768014877","0.01","128",,"50","0.1","0.9","5","0.01","0.0001","true"
"rn50_uf4_1_us","resnet50_lay4","0.7784718885151369","0.786128508466713","0.8055693684733963","0.7531380753138075","0.1","128",,"50","0.1","0.9","5","0.01","0.00002","true"
"rn50_uf34_4_us","resnet50_lay34","0.7726173197871311","0.7819531431222454","0.805345436207766","0.7424453742445374","0.0005","128",,"50","0.1","0.9","5","0.01","0.0001","true"
"rn50_uf34_3_us","resnet50_lay34","0.7577756833176248","0.7615402458826258","0.7682752030578117","0.7475592747559274","0.001","128",,"50","0.1","0.9","5","0.01","0.0001","true"
